VariationID,VCV,RS# (dbSNP)_new,Gene,Submitter,date_old,ClinicalSignificance_old,ClinicalSignificance_old_norm,date_new,ClinicalSignificance_new,ClinicalSignificance_new_norm,SCV_old,SCV_new,change_type,citation_pmids,citation_count
136550,VCV000136550,587780864,BRCA1,"CONFLICT: Color Diagnostics, LLC DBA Color Health",,Multiple interpretations exist,Conflicting interpretations,2019-05-22,Likely benign,Likely benign,,SCV001340170.1,conflicting_interpretations,['25741868'],1
928778,VCV000928778,747287311,BRCA1,CONFLICT: Ambry Genetics,,Multiple interpretations exist,Conflicting interpretations,2022-10-14,Uncertain significance,Uncertain significance,,SCV002744964.2,conflicting_interpretations,['32438681'],1
928778,VCV000928778,747287311,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003849413.1,conflicting_interpretations,"['31911673', '31911673']",2
1514318,VCV001514318,2154450396,BRCA1,"CONFLICT: Labcorp Genetics (formerly Invitae), Labcorp",,Multiple interpretations exist,Conflicting interpretations,2022-01-27,Uncertain significance,Uncertain significance,,SCV002301566.4,conflicting_interpretations,['28492532'],1
1514318,VCV001514318,2154450396,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003851342.1,conflicting_interpretations,"['31911673', '31911673']",2
141076,VCV000141076,587781477,BRCA1,CONFLICT: Quest Diagnostics Nichols Institute San Juan Capistrano,,Multiple interpretations exist,Conflicting interpretations,2023-01-27,Uncertain significance,Uncertain significance,,SCV004219434.1,conflicting_interpretations,"['30209399', '31911673', '33087888', '32269290', '26467025']",5
1514451,VCV001514451,1555588339,BRCA1,"CONFLICT: Labcorp Genetics (formerly Invitae), Labcorp",,Multiple interpretations exist,Conflicting interpretations,2022-08-16,Uncertain significance,Uncertain significance,,SCV002303978.4,conflicting_interpretations,['28492532'],1
1514451,VCV001514451,1555588339,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003847533.1,conflicting_interpretations,"['31911673', '31911673']",2
141071,VCV000141071,587781472,BRCA1,CONFLICT: Ambry Genetics,,Multiple interpretations exist,Conflicting interpretations,2022-12-08,Likely benign,Likely benign,,SCV000184188.8,conflicting_interpretations,['30209399'],1
141071,VCV000141071,587781472,BRCA1,"CONFLICT: Labcorp Genetics (formerly Invitae), Labcorp",,Multiple interpretations exist,Conflicting interpretations,2024-08-16,Uncertain significance,Uncertain significance,,SCV002118274.3,conflicting_interpretations,"['30209399', '30209399', '28492532']",3
1728128,VCV001728128,2154340148,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003847388.1,conflicting_interpretations,"['31911673', '31911673']",2
1772099,VCV001772099,2154447233,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003851311.1,conflicting_interpretations,"['31911673', '31911673']",2
929007,VCV000929007,2053985286,BRCA1,CONFLICT: Quest Diagnostics Nichols Institute San Juan Capistrano,,Multiple interpretations exist,Conflicting interpretations,2019-11-30,Uncertain significance,Uncertain significance,,SCV001470154.1,conflicting_interpretations,['26467025'],1
929007,VCV000929007,2053985286,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003846136.1,conflicting_interpretations,"['31911673', '31911673']",2
1515824,VCV001515824,2154396821,BRCA1,"CONFLICT: Labcorp Genetics (formerly Invitae), Labcorp",,Multiple interpretations exist,Conflicting interpretations,2021-06-21,Uncertain significance,Uncertain significance,,SCV002304625.4,conflicting_interpretations,['28492532'],1
1515824,VCV001515824,2154396821,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003849459.1,conflicting_interpretations,"['31911673', '31911673']",2
1772339,VCV001772339,1567799668,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003851306.1,conflicting_interpretations,"['31911673', '31911673']",2
3072100,VCV003072100,2552233164,BRCA1,"CONFLICT: Laboratory for Molecular Medicine, Mass General Brigham Personalized Medicine",,Multiple interpretations exist,Conflicting interpretations,2019-10-14,Likely Pathogenic,Likely pathogenic,,SCV004847900.1,conflicting_interpretations,['25741868'],1
3072100,VCV003072100,2552233164,BRCA1,"CONFLICT: All of Us Research Program, National Institutes of Health",,Multiple interpretations exist,Conflicting interpretations,2023-12-18,Uncertain Significance,Uncertain significance,,SCV004827184.1,conflicting_interpretations,"['8764110', '12203997', '12815604', '15642173', '16211554', '19892845', '24569164', '25472942', '25639900', '27008870', '28905878', '32133419', '33649982', '25741868']",14
868313,VCV000868313,2054685385,BRCA1,"CONFLICT: Labcorp Genetics (formerly Invitae), Labcorp",,Multiple interpretations exist,Conflicting interpretations,2023-07-26,Likely benign,Likely benign,,SCV004309413.2,conflicting_interpretations,['28492532'],1
1516076,VCV001516076,2154382857,BRCA1,"CONFLICT: Labcorp Genetics (formerly Invitae), Labcorp",,Multiple interpretations exist,Conflicting interpretations,2021-09-01,Uncertain significance,Uncertain significance,,SCV002302509.2,conflicting_interpretations,['28492532'],1
1516076,VCV001516076,2154382857,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003847747.1,conflicting_interpretations,"['31911673', '31911673']",2
1728378,VCV001728378,587781588,BRCA1,"CONFLICT: Labcorp Genetics (formerly Invitae), Labcorp",,Multiple interpretations exist,Conflicting interpretations,2024-06-11,Uncertain significance,Uncertain significance,,SCV004470232.2,conflicting_interpretations,['28492532'],1
1728378,VCV001728378,587781588,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003852563.1,conflicting_interpretations,"['31911673', '31911673']",2
1772378,VCV001772378,2154446641,BRCA1,"CONFLICT: Labcorp Genetics (formerly Invitae), Labcorp",,Multiple interpretations exist,Conflicting interpretations,2022-02-28,Uncertain significance,Uncertain significance,,SCV003780050.4,conflicting_interpretations,['28492532'],1
1772378,VCV001772378,2154446641,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003851304.1,conflicting_interpretations,"['31911673', '31911673']",2
441310,VCV000441310,1555586637,BRCA1,"CONFLICT: Labcorp Genetics (formerly Invitae), Labcorp",,Multiple interpretations exist,Conflicting interpretations,2022-04-22,Uncertain significance,Uncertain significance,,SCV002995776.3,conflicting_interpretations,['28492532'],1
441310,VCV000441310,1555586637,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003847135.1,conflicting_interpretations,"['31911673', '31911673']",2
867638,VCV000867638,1182000313,BRCA1,CONFLICT: Ambry Genetics,,Multiple interpretations exist,Conflicting interpretations,2022-11-22,Likely benign,Likely benign,,SCV003913149.2,conflicting_interpretations,['30209399'],1
1772642,VCV001772642,2154446131,BRCA1,"CONFLICT: Labcorp Genetics (formerly Invitae), Labcorp",,Multiple interpretations exist,Conflicting interpretations,2022-08-03,Uncertain significance,Uncertain significance,,SCV002950766.3,conflicting_interpretations,['28492532'],1
1772642,VCV001772642,2154446131,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003851298.1,conflicting_interpretations,"['31911673', '31911673']",2
481465,VCV000481465,1555589325,BRCA1,CONFLICT: Quest Diagnostics Nichols Institute San Juan Capistrano,,Multiple interpretations exist,Conflicting interpretations,2018-06-20,Uncertain significance,Uncertain significance,,SCV000887647.2,conflicting_interpretations,['26467025'],1
481465,VCV000481465,1555589325,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003847560.1,conflicting_interpretations,"['31911673', '31911673']",2
2021147,VCV002021147,1567795603,BRCA1,"CONFLICT: Labcorp Genetics (formerly Invitae), Labcorp",,Multiple interpretations exist,Conflicting interpretations,2022-08-02,Uncertain significance,Uncertain significance,,SCV003226608.3,conflicting_interpretations,"['17851763', '28492532']",2
2021147,VCV002021147,1567795603,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003847657.1,conflicting_interpretations,"['31911673', '31911673']",2
1773015,VCV001773015,2154445229,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003851286.1,conflicting_interpretations,"['31911673', '31911673']",2
929252,VCV000929252,80357301,BRCA1,"CONFLICT: Women's Health and Genetics/Laboratory Corporation of America, LabCorp",,Multiple interpretations exist,Conflicting interpretations,2019-11-08,Uncertain significance,Uncertain significance,,SCV001364031.1,conflicting_interpretations,['30287823'],1
929252,VCV000929252,80357301,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003846088.1,conflicting_interpretations,"['31911673', '31911673']",2
1728580,VCV001728580,397507211,BRCA1,"CONFLICT: Labcorp Genetics (formerly Invitae), Labcorp",,Multiple interpretations exist,Conflicting interpretations,2024-05-26,Uncertain significance,Uncertain significance,,SCV005798538.1,conflicting_interpretations,['28492532'],1
1728580,VCV001728580,397507211,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003852341.1,conflicting_interpretations,"['31911673', '31911673']",2
1773016,VCV001773016,2154445229,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003851287.1,conflicting_interpretations,"['31911673', '31911673']",2
125729,VCV000125729,273901741,BRCA1,"CONFLICT: Women's Health and Genetics/Laboratory Corporation of America, LabCorp",,Multiple interpretations exist,Conflicting interpretations,2016-05-16,Uncertain significance,Uncertain significance,,SCV000699169.1,conflicting_interpretations,"['21156238', '23704879', '27163896']",3
125729,VCV000125729,273901741,BRCA1,CONFLICT: Ambry Genetics,,Multiple interpretations exist,Conflicting interpretations,2020-05-18,Likely benign,Likely benign,,SCV000607970.5,conflicting_interpretations,"['23704879', '27163896', '30765603']",3
933240,VCV000933240,561988641,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003849574.1,conflicting_interpretations,"['31911673', '31911673']",2
933240,VCV000933240,561988641,BRCA1,"CONFLICT: Department of Pathology and Laboratory Medicine, Sinai Health System",,Multiple interpretations exist,Conflicting interpretations,2023-06-22,Uncertain significance,Uncertain significance,,SCV005915236.1,conflicting_interpretations,['25741868'],1
1519305,VCV001519305,2154289053,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003848062.1,conflicting_interpretations,"['31911673', '31911673']",2
1519305,VCV001519305,2154289053,BRCA1,"CONFLICT: Labcorp Genetics (formerly Invitae), Labcorp",,Multiple interpretations exist,Conflicting interpretations,2023-07-03,Uncertain significance,Uncertain significance,,SCV002317264.4,conflicting_interpretations,['28492532'],1
934392,VCV000934392,1057519249,BRCA1,"CONFLICT: Labcorp Genetics (formerly Invitae), Labcorp",,Multiple interpretations exist,Conflicting interpretations,2019-10-02,Uncertain significance,Uncertain significance,,SCV001373898.6,conflicting_interpretations,['28492532'],1
934392,VCV000934392,1057519249,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003849182.1,conflicting_interpretations,"['31911673', '31911673']",2
1728951,VCV001728951,2154336662,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003850843.1,conflicting_interpretations,"['31911673', '31911673']",2
1519424,VCV001519424,2054001685,BRCA1,"CONFLICT: Labcorp Genetics (formerly Invitae), Labcorp",,Multiple interpretations exist,Conflicting interpretations,2021-11-24,Uncertain significance,Uncertain significance,,SCV002316028.4,conflicting_interpretations,['28492532'],1
1519424,VCV001519424,2054001685,BRCA1,"CONFLICT: University of Washington Department of Laboratory Medicine, University of Washington",,Multiple interpretations exist,Conflicting interpretations,2023-03-23,Likely benign,Likely benign,,SCV003846201.1,conflicting_interpretations,"['31911673', '31911673']",2
