variant_id,rsid,old_class,new_class,total_publications,citations_causing_change,change_significance,pubs_before_change,pubs_after_change,recent_publication_surge,mean_impact_factor,max_impact_factor,high_impact_count,unique_journals
1000551,80357356,Conflicting interpretations,Likely benign,11,3,1.5,11,0,0,5.363636363636363,9.9,0,6
1002750,2053728394,Conflicting interpretations,Uncertain significance,3,3,0.5,3,0,0,4.0,4.0,0,1
1003150,4986849,Conflicting interpretations,Uncertain significance,25,1,0.5,18,7,4,14.436,102.0,8,20
1004775,1258526903,Conflicting interpretations,Likely benign,10,3,1.5,10,0,1,14.23,102.0,1,7
1004786,1555587505,Conflicting interpretations,Uncertain significance,3,2,0.5,3,0,0,3.3333333333333335,4.0,0,2
1005082,753521391,Conflicting interpretations,Likely benign,20,2,1.5,20,0,0,11.709999999999999,102.0,2,17
1005942,1365746397,Conflicting interpretations,Uncertain significance,4,3,0.5,4,0,0,4.0,4.0,0,2
1007698,1555592245,Conflicting interpretations,Likely benign,3,2,1.5,3,0,0,3.3333333333333335,4.0,0,2
1007721,2053519524,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1008789,2053494663,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1009310,1382025345,Conflicting interpretations,Likely benign,6,2,1.5,6,0,0,20.599999999999998,102.0,1,4
1009551,2053486938,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1010509,2053956439,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1010603,1597876749,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1011036,2053557648,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1012905,777916645,Conflicting interpretations,Likely benign,6,2,1.5,5,1,0,21.616666666666664,102.0,1,4
1014279,1304908704,Conflicting interpretations,Likely benign,10,3,1.5,9,1,0,16.64,102.0,2,7
1014997,879254020,Conflicting interpretations,Uncertain significance,9,2,0.5,9,0,0,16.788888888888888,102.0,2,6
1015821,2053674031,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1017178,2054014720,Conflicting interpretations,Uncertain significance,3,3,0.5,3,0,0,4.0,4.0,0,1
1019393,876660267,Conflicting interpretations,Likely benign,9,2,1.5,7,2,0,17.27777777777778,102.0,2,7
1020068,1474499188,Conflicting interpretations,Uncertain significance,2,1,0.5,0,2,0,53.0,102.0,1,2
1021564,2054040121,Conflicting interpretations,Uncertain significance,4,3,0.5,4,0,0,4.3,5.2,0,2
1022202,80358051,Conflicting interpretations,Uncertain significance,9,6,0.5,9,0,0,9.788888888888888,32.3,2,9
1022374,2053481117,Conflicting interpretations,Likely benign,4,4,1.5,4,0,0,4.875,7.5,0,2
1022688,372366481,Conflicting interpretations,Likely benign,7,3,1.5,7,0,0,4.942857142857143,7.6,0,4
1023503,1597869935,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1024907,2053637993,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1025124,1567799925,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1034478,2053619110,Conflicting interpretations,Uncertain significance,3,3,0.5,3,0,0,4.0,4.0,0,1
1034479,786203431,Conflicting interpretations,Uncertain significance,4,4,0.5,4,0,0,4.25,5.0,0,2
1034998,730881482,Conflicting interpretations,Uncertain significance,6,2,0.5,6,0,0,20.933333333333334,102.0,1,4
1035312,2053973967,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1035776,1418676444,Conflicting interpretations,Likely benign,9,3,1.5,9,0,0,15.377777777777778,102.0,1,6
1036207,397507223,Conflicting interpretations,Likely benign,9,2,1.5,8,1,0,14.844444444444443,102.0,1,5
1039566,2053933782,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1039705,398122627,Conflicting interpretations,Likely benign,9,3,1.5,8,1,0,17.61111111111111,102.0,2,6
1039797,1555590925,Conflicting interpretations,Likely benign,3,2,1.5,3,0,0,3.3333333333333335,4.0,0,2
1040298,2053689894,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1042860,2053494663,Conflicting interpretations,Likely benign,4,4,1.5,4,0,0,4.975,7.9,0,2
1044289,1268762258,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1044703,2053599251,Conflicting interpretations,Uncertain significance,3,3,0.5,3,0,0,4.0,4.0,0,1
1045652,757383244,Conflicting interpretations,Likely benign,7,2,1.5,7,0,0,18.714285714285715,102.0,1,5
1046087,2053549058,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1046490,1567791142,Conflicting interpretations,Likely benign,3,2,1.5,3,0,0,3.3333333333333335,4.0,0,2
1047210,876658636,Conflicting interpretations,Likely benign,13,2,1.5,12,1,0,13.361538461538462,102.0,2,11
1049110,1468925322,Conflicting interpretations,Likely benign,8,3,1.5,8,0,0,16.7,102.0,1,5
1049208,2154500888,Conflicting interpretations,Likely pathogenic,3,3,0.5,3,0,0,5.3,7.9,0,2
1049213,397509150,Conflicting interpretations,Uncertain significance,6,2,0.5,6,0,0,8.749999999999998,17.9,2,6
1049469,2154417111,Conflicting interpretations,Likely benign,2,2,1.5,2,0,0,4.0,4.0,0,1
1049569,756859863,Conflicting interpretations,Likely benign,9,2,1.5,9,0,0,17.72222222222222,102.0,3,7
1049577,886038021,Conflicting interpretations,Likely benign,8,3,1.5,8,0,0,5.6875,9.0,0,6
1050301,2154303009,Conflicting interpretations,Likely benign,3,2,1.5,2,1,0,3.8333333333333335,4.0,0,2
1050740,2154464961,Conflicting interpretations,Likely benign,2,2,1.5,2,0,0,4.0,4.0,0,1
1051872,1055368753,Conflicting interpretations,Likely benign,9,3,1.5,9,0,0,15.200000000000001,102.0,1,6
1052268,2053714262,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1052861,2154302764,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1053267,2053491671,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1053289,2053486938,Conflicting interpretations,Likely benign,3,3,1.5,3,0,0,4.0,4.0,0,1
1054658,1294360179,Conflicting interpretations,Uncertain significance,10,3,0.5,9,1,0,14.930000000000001,102.0,1,7
